Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Best Val Accuracy,Best Epoch,Train Time (s),Infer (ms/img),FPS,Parameters,Checkpoint Size (MB),Peak GPU Memory (MB)
yolo11n_cls,0.9833333333333333,0.9834213207372419,0.9833333333333334,0.9833321758455448,0.9833321758455447,,,,1.8824795555550131,531.2142684626231,1534947,3.041872024536133,667.69921875
mobilenet_v3_small,0.9833333333333333,0.9834213207372419,0.9833333333333334,0.9833321758455448,0.9833321758455447,0.9930555555555556,12.0,36.64152121543884,2.5410182666670758,393.5430190006658,1520931,5.933402061462402,285.42041015625
vgg16,0.9833333333333333,0.9837828309536402,0.9833333333333334,0.9832336896420353,0.9832336896420354,0.9861111111111112,9.0,207.43472599983215,6.238070494444198,160.30597937144637,134272835,512.2217302322388,3787.89697265625
densenet121,0.9777777777777777,0.9777777777777779,0.9777777777777779,0.9777777777777779,0.9777777777777777,0.9930555555555556,15.0,137.55246305465698,4.569766761111775,218.8295491380201,6956931,27.12184715270996,571.45166015625
resnet18,0.9777777777777777,0.978123841305154,0.9777777777777777,0.9777716032231175,0.9777716032231175,0.9861111111111112,6.0,48.70876383781433,2.5879917999999535,386.39998782067937,11178051,42.71717357635498,509.06103515625
efficientnet_b0,0.9777777777777777,0.978123841305154,0.9777777777777777,0.9777716032231175,0.9777716032231175,0.9930555555555556,16.0,71.2491660118103,4.501207527778206,222.16260721789016,4011391,15.591374397277832,563.8486328125
convnext_tiny,0.9777777777777777,0.978123841305154,0.9777777777777777,0.9777716032231175,0.9777716032231175,0.9861111111111112,13.0,226.50647950172424,17.53053178888927,57.04333513908534,27822435,106.19974422454834,795.72802734375
resnet50,0.9777777777777777,0.9791666666666666,0.9777777777777779,0.9777530589543938,0.9777530589543938,0.9861111111111112,16.0,133.82533645629883,5.197099816667914,192.4150074610542,23514179,90.00461101531982,714.36328125
alexnet,0.9666666666666667,0.9670003707823508,0.9666666666666667,0.9666574048346762,0.9666574048346763,0.9583333333333334,10.0,35.76556730270386,2.286055727778249,437.43465561614755,57016131,217.50552463531494,758.63916015625
googlenet,0.9611111111111111,0.9614754098360656,0.9611111111111109,0.9612484663286803,0.9612484663286802,0.9861111111111112,2.0,62.148544788360596,2.9359240777795192,340.6082628527349,9939113,38.09589099884033,611.5166015625
