Rank,Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1,Infer (ms/img),FPS,Inference Benchmark Images,Parameters,Trainable Parameters,Checkpoint Size (MB),Peak GPU Memory (MB)
1,mobilenet_v3_small,0.9833333333333332,0.983421320737242,0.9833333333333334,0.9833321758455448,0.9834213207372418,0.9833333333333332,0.9833321758455448,3.0652735466926275,326.23515805921505,1028,1520931,1520931,5.933402061462402,2023.8203125
2,yolo11n_cls,0.9833333333333332,0.983421320737242,0.9833333333333334,0.9833321758455448,0.9834213207372418,0.9833333333333332,0.9833321758455448,0.5710798299996895,1751.0686728343103,1000,1534947,0,3.041872024536133,667.69921875
3,vgg16,0.9833333333333332,0.9837828309536402,0.9833333333333334,0.9832336896420352,0.98378283095364,0.9833333333333332,0.9832336896420354,6.38649332976711,156.58045007877053,1028,134272835,134272835,512.2217302322388,5524.4287109375
4,densenet121,0.9777777777777776,0.977777777777778,0.977777777777778,0.977777777777778,0.9777777777777776,0.9777777777777776,0.9777777777777776,5.064959049611216,197.43496249525643,1028,6956931,6956931,27.12184715270996,2312.13330078125
5,resnet18,0.9777777777777776,0.978123841305154,0.9777777777777776,0.9777716032231176,0.9781238413051538,0.9777777777777776,0.9777716032231176,4.093697039883027,244.27796934102724,1028,11178051,11178051,42.71717357635498,2246.3916015625
6,efficientnet_b0,0.9777777777777776,0.978123841305154,0.9777777777777776,0.9777716032231176,0.9781238413051538,0.9777777777777776,0.9777716032231176,4.027609926069929,248.286209031117,1028,4011391,4011391,15.591374397277832,2302.146484375
7,convnext_tiny,0.9777777777777776,0.978123841305154,0.9777777777777776,0.9777716032231176,0.9781238413051538,0.9777777777777776,0.9777716032231176,5.836739049610914,171.32854347268815,1028,27822435,27822435,106.19974422454834,2534.291015625
8,resnet50,0.9777777777777776,0.9791666666666666,0.977777777777778,0.9777530589543938,0.9791666666666666,0.9777777777777776,0.9777530589543938,4.334513399805972,230.70640410172996,1028,23514179,23514179,90.00461101531982,2449.939453125
9,alexnet,0.9666666666666668,0.9670003707823508,0.9666666666666668,0.9666574048346762,0.9670003707823508,0.9666666666666668,0.9666574048346764,2.8968411877432696,345.20359770879656,1028,57016131,57016131,217.5055246353149,2494.8505859375
10,googlenet,0.4055555555555555,0.7864271457085829,0.4055555555555555,0.3010032150651052,0.7864271457085829,0.4055555555555555,0.3010032150651052,3.286984469844741,304.23021744524226,1028,9939113,9939113,38.09589099884033,2348.87890625
